"Part","Change","Page","FedReg_Number","Year"
"225.64","Revised","29501",59,"1994"
"225.65","(b) revised","29501",59,"1994"
"225.61—225.67 (Subpart G)","Appendix A removed","29501",59,"1994"
"225.127","(a) through (d) amended; (f), (g) and (h) added; eff. 1-9-95","63713",59,"1994"
"225","Appendix A amended","62993, 63244",59,"1994"
"225","Appendix A amended; Appendix D revised; eff. 4-1-95","65926",59,"1994"
"226","Order","6532",59,"1994"
"226","Authority citation revised","40204",59,"1994"
"226.15","(e)(3) and Footnote 36b added","40204",59,"1994"
"226.15","(e)(4) and Footnote 36c added","63715",59,"1994"
"226.16","Footnotes 36b and 36c redesignated as 36c and 36d","40204",59,"1994"
"226.16","Footnotes 36c and 36d redesignated as Footnotes 36d and 36e","63715",59,"1994"
"226.23","(e)(3) and Footnote 48(b) added","40204",59,"1994"
"226.23","(e)(4) and Footnote 48c added","63715",59,"1994"
"229","Appendixes A and B-2 amended","48790",59,"1994"
"230","Determination","24032",59,"1994"
"230.2","(a) and (h) amended","52658",59,"1994"
"230","Supplement I added","40221",59,"1994"
"230","Supplement I amended","52658",59,"1994"
"231","Added","4784",59,"1994"
"262.3","(b)(1)(i)(D) revised; interim","54809",59,"1994"
"263","Authority citation revised","65245",59,"1994"
"263.9","(a) and (b) revised; (e) added; eff. 1-18-95","65245",59,"1994"
"264b.3","(d) amended","12805",59,"1994"
"265.11","(c)(11)(v) revised","22968",59,"1994"
"268","Revised","16098",59,"1994"
