"Part","Change","Page","FedReg_Number","Year"
"226","Preemption determination","3005",56,"1991"
"226","Authority citation revised","13754",56,"1991"
"226","Supplement I amended","13754",56,"1991"
"226","Supplement I corrected","22200, 23993",56,"1991"
"226","Appendix I amended","51322",56,"1991"
"228.4","Regulation at 55 FR 26627 confirmed","26902",56,"1991"
"228.5","Regulation at 55 FR 26626 confirmed; (a)(3) and (c)(3) revised","26902",56,"1991"
"228.6","Regulation at 55 FR 26627 confirmed","26902",56,"1991"
"229.12","(a), (b) introductory text (4) and (c)(1) introductory text revised; (d) amended and (f) revised; final","7801",56,"1991"
"229.12","(a), (b) introductory text, (4), (c)(1) introductory text, (d) and (f) corrected","66343",56,"1991"
"229","Appendixes C and E amended; final","7802",56,"1991"
"229","Appendix E corrected","66343",56,"1991"
"250.101","Regulation at 55 FR 52987 effective date corrected","627",56,"1991"
"250.102","Regulation at 55 FR 52987 effective date corrected","627",56,"1991"
"250.103","Regulation at 55 FR 52987 effective date corrected","627",56,"1991"
"250.104","Regulation at 55 FR 52987 effective date corrected","627",56,"1991"
"261.1","Regulation at 55 FR 49877 confirmed","29412",56,"1991"
"262.3","(i)(2) amended","38052",56,"1991"
"262.3","(i)(2) corrected","60056",56,"1991"
"263","Revised","38052",56,"1991"
"263.16","Corrected","60056",56,"1991"
"265","Revised","25619",56,"1991"
"265","Authority citation revised","67153",56,"1991"
"265.2","(c)(10) and (f)(7)(i) revised; (c)(24), (26) and (f)(7)(ii) removed; (f)(50) and (51) added","6261",56,"1991"
"265.2","(b)(14), (c)(37) and (f)(52) added","8687",56,"1991"
"261.6","(c)(38) added; (f)(46)(iii) and (v) removed; (f)(46)(iv) and (vi) redesignated as (f)(46)(iii) and (iv); (f)(46)(ii) revised; (f)(53) added","19576",56,"1991"
"","Regulation at 56 FR 19576, effective date corrected; (c)(38) corrected","23010",56,"1991"
"265.4","(a)(2) amended","67154",56,"1991"
"265.5","(c)(2) revised","67153",56,"1991"
"265.5","(d)(1) introductory text and (2) introductory text amended","67154",56,"1991"
"265.6","(a)(4), (c)(3), (5) and (d)(2) amended","67154",56,"1991"
"265.7","Heading, introductory text, (a)(2), (4), (c)(2), (4)(i), (d)(2), (3), (5), (7)(i), (e)(3) and (f)(2) amended; (c)(6) added; (e)(5), (6) and (f)(10) revised; revised","67153, 67154",56,"1991"
"265.9","(b) revised","67154",56,"1991"
"265.11","(a)(2), (3), (13), (15) introductory text, (c)(6), (9)(i) and (d)(2) introductory text amended; (f) revised","67154",56,"1991"
"268.101","(b) revised","32955",56,"1991"
"268.1001—268.1004 (Subpart J)","Added","32955",56,"1991"
"268.1001","Revised","64190",56,"1991"
"268.1002","Revised","64191",56,"1991"
"271","Authority citation revised","23994",56,"1991"
"271.1","Revised","23994",56,"1991"
"271.2","(b) revised; (c) and (d) added","23994",56,"1991"
"271.4","(c) revised; (f) removed","23994",56,"1991"
"271.5","(b)(3) revised","23995",56,"1991"
"271.6","(b) and (d) revised; (e) and (f) amended; (g) and (h) added","23995",56,"1991"
"271.8","Added","23995",56,"1991"
"271","Appendix A added","23995",56,"1991"
