"Part","Change","Page","FedReg_Number","Year"
"229.13","(g)(1) introductory text and (ii)(A) amended; (g)(1)(i)(B), (E) and (h)(4) revised; (g)(1)(ii)(A) designation and (B) removed; (g)(4) redesignated as (g)(5); new (g)(4) added","13809",62,"1997"
"229.16","(c)(2)(i)(B) revised","13810",62,"1997"
"229.19","(a)(1) revised; (a)(5)(ii) amended","13810",62,"1997"
"229.30","(c) revised","13810",62,"1997"
"229.34","Heading and (c)(4) revised; (f) added","13810",62,"1997"
"229.36","Heading and (e)(1)(ii) revised; (c) amended","13810",62,"1997"
"229.39","(b) revised","13810",62,"1997"
"229.42","Revised","13810",62,"1997"
"229.43","Added","13810",62,"1997"
"229","Appendix C amended","13811, 48752",62,"1997"
"229","Appendix E amended","13816, 13817, 13821",62,"1997"
"229","Appendix A amended","26221",62,"1997"
"261","Authority citation revised","54359",62,"1997"
"261","Authority citation corrected","62508",62,"1997"
"261.1-261.3 (Subpart A)","Revised; interim","54359",62,"1997"
"261.1","(a)(1) corrected","62508",62,"1997"
"261.10-261.17 (Subpart B)","Revised; interim","54361",62,"1997"
"261.11","Redesignated as 261.20; interim","54359",62,"1997"
"261.12","Redesignated as 261.21; interim","54359",62,"1997"
"261.12","(b)(3), (c)(3) and (4) corrected","62508",62,"1997"
"261.13","Redesignated as 261.22; interim","54359",62,"1997"
"261.14","Redesignated as 261.23; interim","54359",62,"1997"
"261.15-261.17 (Subpart D)","Removed; interim","54359",62,"1997"
"261.17","(f)(4) corrected","62508",62,"1997"
"261.20","Redesignated from 261.11; interim","54359",62,"1997"
"261.21","Redesignated from 261.12; interim","54359",62,"1997"
"261.22","Redesignated from 261.13; interim","54359",62,"1997"
"261.22","(b)(1) introductory text, (2) and (d) corrected","62508",62,"1997"
"261.23","Redesignated from 261.14; interim","54359",62,"1997"
"265.4","(a)(4) added","14792",62,"1997"
"265.5","(f) added","34617",62,"1997"
"265.6","(a)(5) removed","45150",62,"1997"
"265.7","(c)(6) added","64996",62,"1997"
"271","Revised","61218",62,"1997"
