"Part","Change","Page","FedReg_Number","Year"
"263.201—263.205 (Subpart H)","Added","44888",57,"1992"
"264.735-4","Removed","62183",57,"1992"
"264.735-8","Removed","62183",57,"1992"
"264","Appendix A removed","62183",57,"1992"
"265","Authority citation revised","13002",57,"1992"
"265","Authority citation revised","40600",57,"1992"
"265.6","Introductory text republished; (e) added","6789",57,"1992"
"265.6","(b)(2) added; interim","13002",57,"1992"
"265.7","(d)(8) added; interim","13002",57,"1992"
"265.11","(c)(11)(v)(A) removed; (c)(11)(v)(B) and (C) redesignated as (c)(11)(v)(A) and (B); (c)(11)(vi) revised","11907",57,"1992"
"265.11","(e)(11) removed; (e)(12) redesignated as (e)(11)","40600",57,"1992"
