"Part.Number","Change","Page","FedReg_Number","Year"
"202.9","(a)(1) and (2) republished; (a)(3) added","50485",54,1989
"203","Amended; eff. 1-1-93","56965, 56967",57,1992
"203","Appendix A amended","20400",57,1992
"203","Appendix A amended","13405",58,1993
"203","Appendix A amended","63704, 63705",59,1994
"203","Appendix A amended","22225",60,1995
"203","Appendix A amended","28623, 28624",62,1997
"203","Appendix A amended","52143-52146",63,1998
"203","Appendix A and Supplement I amended","3604",62,1997
"203","Appendix A corrected","695, 2481",55,1990
"203","Appendix A correctly amended","33340",62,1997
"203","Appendix A revised","52657",53,1988
"203","Appendix A revised","59857",56,1991
"203","Data reporting","47662",53,1988
"203","Exemption terminated","10365",52,1987
"203","Exemption termination","1",58,1993
"203","Heading revised","50512",58,1993
"203","MSA designations","6601, 50513",58,1993
"203","Order","5444, 34218",55,1990
"203","Order","5746",56,1991
"203","Revised","31687",53,1988
"203","Revised; eff. 1-1-90","51362",54,1989
"203","Supplement I added","63396",60,1995
"203","Supplement I amended","28626, 66260",62,1997
"203","Supplement I amended","70997",63,1998
"203","Supplement I amended","70992",64,1999
"203","Supplement I amended; eff. 1-1-01","80735",65,2000
"203.1(a)","Amended","52142",63,1998
"203.2","(c)(2) amended; (e)(2) revised","59857",56,1991
"203.2","(e)(1) introductory text, (2) and (f) revised","63704",59,1994
"203.3","(a) and (c)(1) revised; eff. 1-1-93","56965",57,1992
"203.3","(a)(1)(ii) amended","36043",62,1997
"203.3","(a)(1)(ii) revised","28623",62,1997
"203.3(a)(1)(ii) and (2)(ii)","Revised","52142",63,1998
"203.4","(a) introductory text amended; (a)(7) revised","63704",59,1994
"203.4","(a) introductory text corrected","66343",56,1991
"203.4","(a) introductory text revised","59857",56,1991
"203.4","(d)(4) corrected","695",55,1990
"203.4","(e) added","22225",60,1995
"203.5","(a) and (e) revised","63704",59,1994
"203.5","(b) and (e) revised; (c) amended","28623",62,1997
"203.5","Revised","13405",58,1993
"203.6","(a) revised","59857",56,1991
"204","Authority citation revised","43176",51,1986
"204","Authority citation revised","2215, 46451",52,1987
"204","Authority citation revised","56443",57,1992
"204","Authority citation revised","61802",58,1993
"204","Heading revised","50512",58,1993
"204.121—204.132","Undesignated center heading added","15495",56,1991
"204.122","(b) revised","47694",52,1987
"204.123","Amended","47695",52,1987
"204.124","(a) amended","47695",52,1987
"204.125","Amended","12917",65,2000
"204.125","Heading and introductory text revised; list amended","15495",56,1991
"204.125","Redesignated from 217.126 and revised","47695",52,1987
"204.126","Redesignated from 217.137 and revised","47695",52,1987
"204.127","Redesignated from 217.138 and revised","47695",52,1987
"204.128","Redesignated from 217.146 and revised","47696",52,1987
"204.129","Redesignated from 217.153 and revised","47696",52,1987
"204.129","Removed","40598",57,1992
"204.130","Redesignated from 217.157 and revised","47696",52,1987
"204.131","Redesignated from 217.159 and revised","47697",52,1987
"204.132","Added","24931",53,1988
"204.133","Added","38427",57,1992
"204.134","Added","38428",57,1992
"204.135","Added","38429",57,1992
"204.136","Added","38429",57,1992
"204.2","(a)(1)(iii), (b)(1)(ii), (e)(6) and (i)(1)(iii)(B) revised; (b)(3)(iii) amended; (b)(3)(iv) removed; (b)(3)(v) redesignated as (b)(3)(iv); (u) added","38427",57,1992
"204.2","(a)(1)(v) and (vii)(C) amended","47694",52,1987
"204.2","(a)(1)(vii)(C) amended","40598",57,1992
"204.2","(b)(3)(ii)(A), (c)(1)(i) footnote 1, (d)(2), (e)(2), and (f)(2) revised; (e)(4) amended; (b)(3)(iv) removed; (b)(3)(v) and (vi) redesignated as (b)(3)(iv) and (v)","15494",56,1991
"204.2","(c)(1)(i) introductory text footnote 2 revised","50541",55,1990
"204.2","(c)(1)(iv)(E), footnote 4 amended","47695",52,1987
"204.2","(f)(1)(iii) revised; (f)(1)(iv) and (3) removed; (f)(1)(v) redesignated as (f)(1)(iv); (c)(1)(ii) introductory text, (iv)(C), (E), (d)(2), new (f)(1)(iv)(C), new (E), (h)(1)(ii)(A), (2)(ii) and (t) amended; eff. 4-1-97","69025",61,1996
"204.2","Introductory text, (b) through (e), (f)(1)(i), (ii), and (v) revised; (f)(3) added; (h)(1)(ii)(A) first footnote 1, (h)(2)(ii) second footnote 1, and (t)(1) footnote 2 redesignated as footnotes 10, 11, and 12; new (h)(2)(ii) footnote 11 revised","9632",51,1986
"204.2(p)","Removed","64841",63,1998
"204.2—204.4","Authority citations removed","2215",52,1987
"204.3","(a) introductory text amended; (g) revised","38427",57,1992
"204.3","(a)(3)(i) and (h) revised","9635",51,1986
"204.3","(a)(3)(i)(A) and (B) amended; (a)(3)(i)(C) removed; (c)(2) revised","50541",55,1990
"204.3","(a)(3)(i), (ii) designation and (i)(5)(iv) removed; (f)(1) revised; (h)(1), (2), (i)(1)(ii) and (4)(ii) amended; eff. 4-1-97","69025",61,1996
"204.3","(a), (b)(1), (2)(i) and (i) revised","59778",62,1997
"204.3","(b) revised","34616",62,1997
"204.3","(c)(3) and (h) revised","38417",57,1992
"204.3(c)","Revised","15071",63,1998
"204.4","(a) amended; (b) and (c) removed; (d) through (g) redesignated as (b) through (e); new (b), (c)(2)(ii), (d)(2), and (e)(1) and (2)(i) and (iii) amended","9636",51,1986
"204.4","Revised; eff. 4-1-97","69025",61,1996
"204.7","(a) revised","15495",56,1991
"204.7","(a)(1) amended; eff. 4-1-97","69025",61,1996
"204.8","(a)(2)(i)(B)(5) and (3)(v) amended; eff. 4-1-97","69025",61,1996
"204.8","(a)(2)(i)(B)(5) and (3)(v) and (e) amended","9636",51,1986
"204.8","(a)(2)(i)(B)(5) footnote 14 revised","15495",56,1991
"204.9","(a) revised","43176",51,1986
"204.9","(a) revised","49116",53,1988
"204.9","(a) revised","56443",57,1992
"204.9","(a) revised","61802",58,1993
"204.9","(a) revised","60703",59,1994
"204.9","(a) revised","57913",60,1995
"204.9","(a) revised","60173",61,1996
"204.9","(a)(1 and (2) revised","60055",56,1991
"204.9","(a)(1) and (2) revised","46451",52,1987
"204.9","(a)(1) revised","51012",54,1989
"204.9","(a)(1) revised","49994",55,1990
"204.9","(a)(1) revised","8060",57,1992
"204.9","(a)(1) table corrected","53100",55,1990
"204.9","(a)(1) table corrected","64112",58,1993
"204.9","(b) removed; (a)(1) and (2) redesignated as (a) and (b); eff. 4-1-97","69025",61,1996
"204.9","Authority citation removed","2215",52,1987
"204.9","Regulation at 55 FR 49994 withdrawn; (a) revised","50541",55,1990
"204.9","Revised","61622",62,1997
"204.9","Revised","65662",63,1998
"204.9","Revised","53619",64,1999
"204.9","Revised","69859",65,2000
"205","11(c)(3) Revised","52118",63,1998
"205","Appendix A amended","30912",52,1987
"205","Appendix A amended","10683",59,1994
"205","Appendix Amended","52118",63,1998
"205","Appendix B added","20400",57,1992
"205","Appendixes A and B revised; Appendix C added","19676",61,1996
"205","Authority citation revised","10683",59,1994
"205","Authority citation revised","43469",62,1997
"205","Heading revised","50512",58,1993
"205","Supplement I revised","19688",61,1996
"205","Supplement II amended","13485",51,1986
"205","Supplement II amended","10734",52,1987
"205","Supplement II amended","11046",53,1988
"205","Supplement II amended","9416",54,1989
"205","Supplement II amended","12635",55,1990
"205","Supplement II removed","19695",61,1996
"205.1","Revised","19669, 19672",61,1996
"205.11","Revised","19673",61,1996
"205.12","Revised","19674",61,1996
"205.13","(a)(1) amended","53539",54,1989
"205.13","Revised","19674",61,1996
"205.14","(a)(2) and (b) revised","30912",52,1987
"205.14","Revised","19674",61,1996
"205.15","(a) revised","43469",62,1997
"205.15","Added","10683",59,1994
"205.15","Revised","19675",61,1996
"205.2","Revised","19669",61,1996
"205.3","Revised","19669",61,1996
"205.4","Revised","19670",61,1996
"205.4(c)","Added; interim","14532",63,1998
"205.5","Revised","19670",61,1996
"205.6","(c) revised","52653",53,1988
"205.6","Revised","19670",61,1996
"205.7","Revised","19671",61,1996
"205.8","Revised","19671",61,1996
"205.9","(a)(4) revised; interim","61788",59,1994
"205.9","Regulation at 59 FR 61788 confirmed; (a)(4) revised","15033",60,1995
"205.9","Revised","19671",61,1996
"206","Added","60106",57,1992
"206","Heading revised","50512",58,1993
"206","Removed","49375",52,1987
"206","Supplemental notice","492",53,1988
"207","Authority citation revised","60166",61,1996
"207","Heading revised","50512",58,1993
"207","OTC margin stock list","3939, 15757, 27519, 39643",51,1986
"207","OTC margin stock list","3218, 15941, 28538, 41963",52,1987
"207","OTC margin stock list","2999, 15195, 28189, 43679",53,1988
"207","OTC margin stock list","4254, 16357, 31647, 43952",54,1989
"207","OTC margin stock list","2631, 18591, 31367, 46040",55,1990
"207","OTC margin stock list","3773, 19548, 35807, 55442",56,1991
"207","OTC margin stock list","2997, 15220, 33101, 48939",57,1992
"207","OTC margin stock list","6602, 25543, 39640, 54925",58,1993
"207","OTC margin stock lists","4549, 23124, 37651, 54381",59,1994
"207","OTC margin stock lists","5845, 20005, 38948, 55184",60,1995
"207","OTC margin stock lists","2667, 18495, 39556, 55555",61,1996
"207","OTC margin stock lists","3773, 22881, 40257, 55495",62,1997
"207","OTC margin stock lists","3804",63,1998
"207","Removed","2820",63,1998
"207.1","(b) redesignated as (b)(1); (b)(2) added","46110",56,1991
"207.112","Added","1781",51,1986
"207.114","Added","60166",61,1996
"207.13","Added","46228",56,1991
"207.3","(l)(1)(i), (ii) and (3) revised","46111",56,1991
"208","(b) corrected","15601",62,1997
"208","(b), (c)(8)(ii) and (d) footnote 1 corrected","10482",54,1989
"208","Appendix A added","4198",54,1989
"208","Appendix A amended","32831",55,1990
"208","Appendix A amended","51156",56,1991
"208","Appendix A amended","2012, 60719, 62182",57,1992
"208","Appendix A amended","7979, 68738",58,1993
"208","Appendix A amended","62992, 63244",59,1994
"208","Appendix A amended","8180, 39493, 46176, 46178",60,1995
"208","Appendix A amended","46522",63,1998
"208","Appendix A amended","10199",64,1999
"208","Appendix A amended; Appendix E added","47370",61,1996
"208","Appendix A amended; eff. 1-17-95","64563",59,1994
"208","Appendix A amended; eff. 4-1-95","65924",59,1994
"208","Appendix A amended; eff. 4-1-96","66044",60,1995
"208","Appendix A amended; interim","43890, 62179",57,1992
"208","Appendix A amended; interim","39229",60,1995
"208","Appendix A corrected","12531",54,1989
"208","Appendix B added","32831",55,1990
"208","Appendix C added; eff. 3-19-93","62900",57,1992
"208","Appendix C corrected","4460",58,1993
"208","Appendix D added","35678, 35682",60,1995
"208","Appendix D amended","43951",61,1996
"208","Appendix D redesignated as D-1","55486",63,1998
"208","Appendix D-2 Revised","66704, 66705",64,1999
"208","Appendix D-2 added; interim","55484, 55486",63,1998
"208","Appendix E Amended","19037, 19038",64,1999
"208","Appendix E amended; interim","68067, 68068",62,1997
"208","Appendix E amended; interim; eff. 1-4-01","75858",65,2000
"208","Appendixes A amended and B revised; eff. 4-1-95","65925",59,1994
"208","Appendixes A and B amended","7980",58,1993
"208","Appendixes A and B amended","45615",60,1995
"208","Appendixes A and B amended","42675",63,1998
"208","Appendixes A and B amended","10200",64,1999
"208","Appendixes A and B amended; interim","39230",60,1995
"208","Authority citation revised","2859, 42090, 49375",52,1987
"208","Authority citation revised","27771",55,1990
"208","Authority citation revised","43890, 44885, 60719, 62179, 62899",57,1992
"208","Authority citation revised","7979, 47208",58,1993
"208","Authority citation revised","55988, 62992, 63244",59,1994
"208","Authority citation revised","35288, 35682, 39229, 39493",60,1995
"208","Authority citation revised","45704, 47369",61,1996
"208","Authority citation revised","6452, 13285, 47735",62,1997
"208","Authority citation revised","37637, 46522",63,1998
"208","Authority citation revised","10199",64,1999
"208","Authority citation revised","75841",65,2000
"208","Authority citation revised; section authority citations removed","20811",53,1988
"208","Heading revised","50512",58,1993
"208","Regulation at 57 FR 62179 confirmed","28492",58,1993
"208","Technical correction","48571",63,1998
"208","Temporary exceptions","54173",57,1992
"208.1--208.7 (Subpart A)","Revised","37637",63,1998
"208.10","(a)(3) amended; (a)(4) revised; (b)(2) and (3) amended","7183",54,1989
"208.10","Heading revised; (a), (b) and (c) designation and heading removed","55988",59,1994
"208.100--208.101 (Subpart G)","Added","37658",63,1998
"208.100--208.101 (Subpart G)","Redesignated as 208.100--208.101 (Subpart H); interim","14814",65,2000
"208.100--208.101 (Subpart H)","Redesignated as (Subpart I); eff. 4-1-01","75841",65,2000
"208.110","Removed","21593",57,1992
"208.116—208.128","Designated as subpart E; undesignated center heading removed","44888",57,1992
"208.123","Added","17437",60,1995
"208.123","Removed","7181",54,1989
"208.124","Added","7181",54,1989
"208.125","Regulation at 55 FR 52987 effective date corrected","627",56,1991
"208.125—208.127","Redesignated from 250.101—250.103","52987",55,1990
"208.126","Regulation at 55 FR 52987 effective date corrected","627",56,1991
"208.127","Regulation at 55 FR 52987 effective date corrected","627",56,1991
"208.128","Added","63407",56,1991
"208.129","Added","13285",62,1997
"208.13","Revised","4198",54,1989
"208.13","Revised","32831",55,1990
"208.13","Revised","47369",61,1996
"208.14","Added","2860",52,1987
"208.15","(a)(1)(iv) and (2), (b)(1), (d)(3), (e)(4), (f)(1) and (2)(vi) revised; (a)(4) added","20812",53,1988
"208.15","Added","42090",52,1987
"208.15","Addition comment time extended","46984",52,1987
"208.16","Added","49376",52,1987
"208.16","Supplemental notice","492",53,1988
"208.17","(a)(2) amended","55988",59,1994
"208.17","Added","6117",54,1989
"208.18","Added","27771",55,1990
"208.18","Regulation at 55 FR 27771 compliance date revised","6",57,1992
"208.19","Added; (a) eff. 1-25-91","52986",55,1990
"208.1—208.19","Designated as subpart A; undesignated center heading removed","44885",57,1992
"208.1—208.19 (Subpart A)","Footnotes 11, 12 and 13 redesignated as 9, 10 and 11","55988",59,1994
"208.2","Revised","4343",61,1996
"208.20","Added","47208",58,1993
"208.20--208.25 (Subpart B)","Revised","37641",63,1998
"208.21","Added; eff. 1-9-95","63711",59,1994
"208.22","Added","28761",59,1994
"208.23","Added","45704",61,1996
"208.24","Added","9911",62,1997
"208.25","(f)(1) revised","71274",64,1999
"208.25","Added","13285",62,1997
"208.26","Added; interim","6452",62,1997
"208.26","Revised","16380",63,1998
"208.28","Added","47735",62,1997
"208.3","(c)(1)(ii) and (d)(1) Amended","58620",63,1998
"208.30--208.37 (Subpart C)","Revised","37646",63,1998
"208.30—208.35 (Subpart B)","Added","44885",57,1992
"208.31","(f) revised; interim","39229",60,1995
"208.40--208.45 (Subpart D)","Revised","37652",63,1998
"208.41(f)","Revised","42674",63,1998
"208.50--208.51 (Subpart E)","Revised","37655",63,1998
"208.51—208.52 (Subpart C)","Added; eff. 3-19-93","62899",57,1992
"208.6","(c)(1)(ii) Amended","58621",63,1998
"208.60 (Subpart D)","Added","35682",60,1995
"208.60--208.64 (Subpart F)","Added","37655",63,1998
"208.71","(c) added; interim","15052",65,2000
"208.71--208.77 (Subpart G)","Added; interim","14814",65,2000
"208.77","(e) and (f) redesignated as (f) and (g); new (e) added; interim","15052",65,2000
"208.8","(e) and Appendix A removed","45704",61,1996
"208.8","(e)(4) added; eff. 1-2-96","35288",60,1995
"208.8","(k) removed","9911",62,1997
"208.81--208.86 (Subpart H)","Added; eff. 4-1-01","75841",65,2000
"209","Appendix A, B and C amended","58621",63,1998
"209","Heading revised","50512",58,1993
"209","Revised","37663",63,1998
"209.15","Added","34616",62,1997
"210","Authority citation corrected","47428",55,1990
"210","Authority citation revised","22965",59,1994
"210","Heading and authority citation revised","21984",53,1988
"210","Heading and authority citation revised","40801",55,1990
"210","Heading revised","50512",58,1993
"210.1","Amended","22965",59,1994
"210.1","Revised","21984",53,1988
"210.10","Revised","21985",53,1988
"210.10","Revised; eff. 1-2-98","48173",62,1997
"210.11(b)","Amended; eff. 1-2-98","48173",62,1997
"210.12","(a) amended; (d) through (g) redesignated as (e) through (h); new (d) and (i) added; (c) introductory text, (2), new (e) concluding text and (h) revised","22966",59,1994
"210.12","(a), (b), (c)(1) (f) and (h) revised; (d), (g) and (i) amended; eff. 1-2-98","48173",62,1997
"210.12","(c)(10) revised; (c)(11) added","21745",51,1986
"210.12","Revised","21985",53,1988
"210.13","(a) revised","21986",53,1988
"210.13","Revised","22966",59,1994
"210.14","Revised","22967",59,1994
"210.1—210.15 (Subpart A)","Heading revised","21984",53,1988
"210.2","(a) and (b) through (p) redesignated as (b) and (d) through (r); new (a) and (c) added; new (d), new (g) introductory text and (2) revised; eff. 1-2-98","48171",62,1997
"210.2","(d) revised; (g) concluding text amended; (n) and (o) added; eff. 10-14-93","46955",57,1992
"210.2","(e), (f), (g) undesignated flush text and (j) revised; (g) footnote 2 removed; (k) and (l) redesignated as (l) and (m); new (k) added; new (l) introductory text and undesignated flush text revised","21984",53,1988
"210.2","(g) introductory text revised; (p) added","22965",59,1994
"210.2","Text amended; footnote 1 revised","21744",51,1986
"210.25","(b)(3) corrected","47428",55,1990
"210.25—210.32 (Subpart B)","Appendix A corrected","47428",55,1990
"210.25—210.32 (Subpart B)","Appendix B corrected","47428",55,1990
"210.25—210.32 (Subpart B)","Revised","40801",55,1990
"210.26","(e) and (f) corrected","47428",55,1990
"210.28","(b)(5) added; eff. 10-14-93","46956",57,1992
"210.29","(b) corrected","47428",55,1990
"210.3","(a) amended; (f) added","22965",59,1994
"210.3","(b) revised","21984",53,1988
"210.3","(e) added","21744",51,1986
"210.3(a)","Amended; eff. 1-2-98","48171",62,1997
"210.38","(b) revised and redesignated as (b)(1); (b)(2) added; eff. in part 1-1-90","21745",51,1986
"210.4","Revised; eff. 1-2-98","48171",62,1997
"210.5","(a) introductory text and (2) revised; (b)(3) amended; (d) added","22965",59,1994
"210.5","(a)(1) and (c) revised; (d) amended; eff. 1-2-98","48171",62,1997
"210.5","(a)(2), (b), and (c) revised","21745",51,1986
"210.6","(a)(1) and (b) revised; eff. 1-2-98","48172",62,1997
"210.6","(a)(1) revised","21984",53,1988
"210.6","(a)(1) revised; (c) added; eff. in part 1-1-90","21745",51,1986
"210.6","(b) and (c) amended; (b)(1) and (2) revised","22966",59,1994
"210.7","(b) revised","21985",53,1988
"210.7","(c) introductory text and (d) revised; eff. 1-2-98","48172",62,1997
"210.8","Revised; eff. 1-2-98","48172",62,1997
"210.9","(a) through (e) redesignated as (b) through (f); new (a) added; new (b) and new (c) revised; new (f) amended; eff. 1-2-98","48172",62,1997
"210.9","(a)(2) amended; eff. 1-1-87","21745",51,1986
"210.9","(a)(5) revised","22966",59,1994
"210.9","(e) amended; footnote 3 redesignated as footnote 2","21985",53,1988
"210.9","Heading and (a) revised; eff. 10-14-93","46955",57,1992
"211","Authority citation revised","30914",52,1987
"211","Authority citation revised","19565",56,1991
"211","Authority citation revised","47209",58,1993
"211","Authority citation revised","55028",59,1994
"211","Authority citation revised","67054",60,1995
"211","Authority citation revised","13286, 47736",62,1997
"211","Heading revised","50512",58,1993
"211","Regulation at 56 FR 19565 effective date corrected","23010",56,1991
"211","Regulation at 56 FR 19574 effective date corrected","23010, 23010, 23010",56,1991
"211","Regulation at 56 FR 19575 effective date corrected","23010",56,1991
"211.1—211.7 (Subpart A)","Revised","19565",56,1991
"211.2","(b)(8) and (9) amended; (b)(10) added","39053",61,1996
"211.2","(t) revised","6358",58,1993
"211.2","(t) revised; interim","12997",57,1992
"211.2","(u) and (v) redesignated as (v) and (w); new (u) and (x) added","67054",60,1995
"211.2","Redesignated from 211.21; (b)(3) through (8) revised; (b)(9) and (c) added","6358",58,1993
"211.2(u)(1)","Amended","58621",63,1998
"211.21","(b)(1) and (2) amended; (b)(3) through (b)(8) added; interim","12997",57,1992
"211.21","(e) revised","55028",59,1994
"211.21","Redesignated as 211.20; new 211.21 redesignated from 211.22 and revised","6358",58,1993
"211.21","Revised","19574",56,1991
"211.22","(a) revised; (c) removed; (d) redesignated as (c)","24440",61,1996
"211.22","(a)(2) and (5) revised","19574",56,1991
"211.22","Redesignated as 211.21","6358",58,1993
"211.22","Redesignated as 211.23; new 211.22 added; interim","12998",57,1992
"211.22","Redesignated from 211.23","6359",58,1993
"211.22(d)","Added","47736",62,1997
"211.22(d)","Amended","58621",63,1998
"211.23","(d),(e),(f)(4),(5), (g) and (h) revised; (i) added","19574",56,1991
"211.23","Redesignated as 211.22; new 211.23 redesignated from 211.24; (a) through (h) redesignated as (b) through (i); new (a) added","6359",58,1993
"211.23","Redesignated as 211.24; new 211.23 redesignated from 211.22; (a) removed; (b) through (e) redesignated as (a) through (d); interim","12998",57,1992
"211.24","(a)(2)(i) and (ii) revised; (d)(3) redesignated as (d)(4); new (d)(3) added","2901",61,1996
"211.24","(f) added","47209",58,1993
"211.24","(f) amended","4344",61,1996
"211.24","(g) added","39053",61,1996
"211.24","Heading revised; (h) added","13286",62,1997
"211.24","Redesignated as 211.23; new 211.24 redesignated from 211.25 and revised","6359",58,1993
"211.24","Redesignated from 211.23; (a) removed; (b) through (i) redesignated as (a) through (h); interim","12998",57,1992
"211.24(f) and (h)","Amended","58621",63,1998
"211.25","Added; interim","12999",57,1992
"211.25","Redesignated as 211.24; new 211.25 redesignated from 211.26 and revised","6359",58,1993
"211.26","(c)(2)(i)(C)(2) and (ii) revised","56952",64,1999
"211.26","Added; interim","13000",57,1992
"211.26","Redesignated as 211.25; new 211.26 redesignated from 211.27 and revised","6359",58,1993
"211.26(c)","Revised","46121",63,1998
"211.27","Added; interim","13001",57,1992
"211.27","Redesignated as 211.26; new 211.27 redesignated from 211.28 and revised","6359",58,1993
"211.28","Added; interim","13001",57,1992
"211.28","Redesignated as 211.27; new 211.28 redesignated from 211.29 and revised","6359",58,1993
"211.29","Added","6362",58,1993
"211.29","Added","55028",59,1994
"211.29","Added; interim","13001",57,1992
"211.29","Redesignated as 211.28","6359",58,1993
"211.3","Added","6921",61,1996
"211.3","Heading added; interim","13001",57,1992
"211.31","(b)(4) amended","46076",58,1993
"211.31—211.34 (Subpart C)","Revised","19575",56,1991
"211.41","(b) amended","46076",58,1993
"211.42","(a) amended","46076",58,1993
"211.5","(c)(2) amended","25359",51,1986
"211.5","(c)(2) and (3) redesignated as (c)(3) and (4); new (c)(2) added; new (c)(3) amended","67054",60,1995
"211.5","(f) added","30914",52,1987
"211.5","(f) revised","5363",53,1988
"211.603","Added","63408",56,1991
"211.604","Added","58781",64,1999
"211.8","Added","47209",58,1993
"211.8","Amended","4344",61,1996
"211.8","Amended","58621",63,1998
"212","Heading revised","50512",58,1993
"212","Revised","40302",61,1996
"212.2","(b) and (f) removed; (c) through (r) redesignated as (b) through (p)","51679",64,1999
"212.3","(b) and (c) revised","51679",64,1999
"212.5","Revised","51679",64,1999
"212.6","Revised","51679",64,1999
"212.7","(a) revised","51679",64,1999
"213","Appendix A amended","15369",62,1997
"213","Appendix A amended","52109",63,1998
"213","Appendix A revised","52262",61,1996
"213","Appendix D amended","53539",54,1989
"213","Appendix D amended","51322",56,1991
"213","Appendix D amended","20400",57,1992
"213","Appendix D removed","52258",61,1996
"213","Appendixes B and C revised; Supplement I amended","52269",61,1996
"213","Authority citation corrected","65130",56,1991
"213","Authority citation revised","51322",56,1991
"213","Authority citation revised","52109",63,1998
"213","Compliance date delay","51006, 53733",62,1997
"213","Heading revised","50512",58,1993
"213","Supplement I amended","52115",63,1998
"213","Supplement I amended","16613, 16614",64,1999
"213","Supplement I revised","16058",62,1997
"213.1","Revised","52258",61,1996
"213.1(a)","Revised","15367",62,1997
"213.2","Revised","52258",61,1996
"213.2(f)","Amended","15367",62,1997
"213.3","Revised","52259",61,1996
"213.4","(b), (f)(1), (n), (o)(1) heading and (2) heading revised; (t) added","15367",62,1997
"213.4","Revised","52259",61,1996
"213.4(f)(8)","Revised","52109",63,1998
"213.5","Revised","52260",61,1996
"213.5(d)(1)","Revised","15367",62,1997
"213.6","Removed","52258",61,1996
"213.7","(d)(1)(ii) and (2)(iv) removed; (d)(1)(iii), (2)(v) and (vi) redesignated as (d)(1)(ii), (2)(iv) and (v); (b)(1), (d)(1)(i), (2)(ii), (iii), new (iv) and new (v) revised","15367",62,1997
"213.7","Revised","52261",61,1996
"213.7(d)(1)(ii)","Revised","52109",63,1998
"213.8","Revised","52261",61,1996
"213.9","Added","52261",61,1996
"214","Heading revised","50512",58,1993
"215","Authority citation revised","21205, 22423, 60979",57,1992
"215","Authority citation revised","26508, 61804",58,1993
"215","Authority citation revised","8837",59,1994
"215","Authority citation revised","31054",60,1995
"215","Heading revised","50512",58,1993
