"X","Part","Change","Page","FedReg_Number","Year"
37,"217.6","(e), (f), and (g) redesignated as (f), (g), and (h); new (e) added","26109",38,1973
38,"217.6","(i) added","34457",38,1973
39,"217.7","(a)(1) revised","13728",38,1973
40,"217.7","Revised","18641, 19908, 29461",38,1973
41,"217.7","(a) revised","20442",38,1973
42,"217.7","(c) revised","34457",38,1973
43,"217.102","Removed","23512",38,1973
44,"217.122-217.123","Removed","23512",38,1973
45,"217.137","(a) revised","16029",38,1973
46,"217.138","Added","35231",38,1973
47,"220.3","(b)(2) amended; (d)(5) revised","13548",38,1973
48,"220.4","(c)(8) revised","1501",38,1973
49,"220.6","(l) added","34988",38,1973
50,"220.8","(a)(1) and (f) revised","13549",38,1973
51,"220.126","Added","5237",38,1973
52,"220.127","Added","11066",38,1973
53,"220.128","Added","12098",38,1973
54,"220.129","Added","16652",38,1973
55,"221.3","(l) revised","13549",38,1973
56,"221.3","(w) corrected","18363",38,1973
57,"221.4","(a) revised","13549",38,1973
58,"221.122","Added","5237",38,1973
59,"225.4","(a)(11) added","32126",38,1973
60,"225.129","Added","32126",38,1973
61,"225.130","Added","35231",38,1973
62,"226.2","(u) revised","18457",38,1973
63,"226.6","(a) revised","18457",38,1973
64,"226.8","(b)(7) revised","19814",38,1973
65,"226.10","(c) and (d) revised","18457",38,1973
66,"226.101","Added","18458",38,1973
67,"226.506","Added","14743",38,1973
68,"226.818","Added","12202",38,1973
69,"226.819","Added","23513",38,1973
70,"250.163","Added","13728",38,1973
71,"250.221","Added","35231",38,1973
72,"262","Revised","6807",38,1973
73,"265.2","(f)(23) revised; (f)(26) added","2442",38,1973
74,"265.2","(f)(3) revised","6988",38,1973
75,"265.2","(f)(27) added","8592",38,1973
76,"265.2","(f)(22) and (f)(24) revised; (f)(28) added","10917",38,1973
77,"265.2","(f)(22)(v) removed; (f)(22)(vi) through (xiii) redesignated as (f)(22)(v) through (xii); (f)(24)(v) removed; (f)(24)(vi) through (xvii) redesignated as (f)(24)(v) through (xvi); footnotes 4 and 5 redesignated as 2 and 3","29073",38,1973
78,"266","Added","31672",38,1973
79,"270","Revised","2753",38,1973
80,"271","Amended","2754",38,1973
81,"271.1","Heading revised","2754",38,1973
82,"271.2","(a) amended","2754",38,1973
83,"271.3","(a) amended","2754",38,1973
84,"271.4","(b) and (c) amended","2754",38,1973
85,"271.5","(a) amended","2754",38,1973
86,"271.6","(f) amended","2754",38,1973
87,"271.7","(a) amended","2754",38,1973
88,"272","Revised","2754",38,1973
1,"201.2"," (e) revised","35128",39,1974
2,"201.3"," (b) revised","39031",39,1974
3,"201.51"," Revised","16873, 44422",39,1974
4,"201.52"," Revised","16873, 38087, 44422",39,1974
5,"201.53"," Revised","16873, 38087, 44422",39,1974
6,"202"," Removed","11873",39,1974
7,"203"," Removed","11873",39,1974
8,"204.1"," (f)(5) amended","34020",39,1974
9,"204.1"," (e)(1) revised","43056",39,1974
10,"204.5"," (a)(1)(ii) and (2)(ii) revised","33202",39,1974
11,"204.5"," (a)(1)(ii) and (2)(ii) and (iii) revised","40581, 40939",39,1974
12,"204.1(c)","revised","41984",39,1974
13,"204.110","Added","34020",39,1974
14,"206.7(c)(9)(viii)","revised","29916",39,1974
15,"207.2(f)(4)","revised","24220",39,1974
16,"207.5(a)","revised","1006, 1974",39,1974
17,"207.5(d) and (e)","revised","24220",39,1974
18,"207.5(f)","revised","39433",39,1974
19,"207.108","Added","9425",39,1974
20,"207.109","Added","43815",39,1974
21,"208.8","Redesignated as 208.9; new 208.8 added","5482",39,1974
22,"208.8(c) and (d)","revised","29916",39,1974
23,"208.8(e)(4)","added","34020",39,1974
24,"208.9(b) and (c)","revised","788",39,1974
25,"208.9(b)(2)","amended","1974",39,1974
26,"208.9","Redesignated as 208.10; redesignated from 208.8","5482",39,1974
27,"208.10","Redesignated as 208.11; redesignated from 208.9","5482",39,1974
28,"208.11","Redesignated as 208.12; redesignated from 208.10","5482",39,1974
29,"208.12","Redesignated from 208.11","5482",39,1974
30,"210.2","Footnote 2 revised","32011",39,1974
31,"212.3","Introductory text revised; (g) added","18641",39,1974
32,"212.103","Added","18641",39,1974
33,"213.7(b)","amended","20056",39,1974
34,"213.7(a)","revised","41984",39,1974
35,"217.1(e)(1)","revised","43057",39,1974
36,"217.4(d) and (e)","amended","43618",39,1974
37,"217.5(c) introductory text and (c)(3)","revised","37768",39,1974
38,"217.6(e)","amended","43618",39,1974
39,"217.7(b)(1)","amended; (d) added","43056",39,1974
40,"217.7(b)","revised; (d) added","43618",39,1974
41,"220.2(e)(4)","revised","24221",39,1974
42,"220.6(l) (38 FR 34988)","effective date changed to 1-1-75","20960",39,1974
43,"220.6(l) (38 FR 34988)","effective date changed to 3-3-75","44739",39,1974
44,"220.8(a)(1) and (d)","revised","1006",39,1974
45,"220.8(a)(1)","revised","1974",39,1974
46,"220.8(h) and (i)","revised","24221",39,1974
47,"220.8(g)(3)","added","39433",39,1974
48,"221.3(d)(4)","revised","24222",39,1974
49,"221.4(a)","revised","1006, 1974",39,1974
50,"221.4(d) and (e)","revised","24222",39,1974
51,"221.4(f)","revised","39433",39,1974
52,"221.122","Revised","9425",39,1974
53,"225.3(c)","added","10237",39,1974
54,"225.4(a)(12)","added","8318",39,1974
55,"225.4(a)(6)(i)","revised","11254",39,1974
56,"225.4","Footnotes renumbered","11255",39,1974
57,"225.4(a)(6)(ii)","revised","11255",39,1974
58,"225.4(a)(4)","revised","19774, 24220",39,1974
59,"225.4(a)(12)(ii)","revised","18642",39,1974
60,"225.123","(d) removed (see clarification at 40 FR 13304)","11255",39,1974
61,"225.131","Added","8318, 21120",39,1974
62,"225.132","Added","35128",39,1974
63,"226.6","(j) and (k) removed; (l) redesignated as (j)","2755",39,1974
64,"226.7","(f) removed","2755",39,1974
65,"226.602","Removed","2755",39,1974
66,"226.605","Removed","2755",39,1974
67,"250.250","Added","28975",39,1974
68,"250.260","Added","45254",39,1974
69,"265.2","(f)(29) added","10236",39,1974
70,"265.2","(f)(22), (24), and (28) revised; (f)(30) added","13070",39,1974
71,"265.2","(f)(31) and (32) added","28517",39,1974
72,"265.2","(c)(13) and (18) removed; (c)(14) through (.17) redesignated as (c)(13) through (16); (h) added","30829",39,1974
73,"270.4","(c)(2) revised","11873",39,1974
1,"265.1a","(a) introductory text and (a)(1) through (5) amended; (a)(6) through (11) added","31207",40,1975
2,"265.2","(a) redesignated as (a)(1); (a)(2) through (12) added","1506",40,1975
3,"265.2","(a)(13) added","25581",40,1975
4,"265.2","(d)(5) and (6), (f) introductory text, and (f)(33) added","31208",40,1975
5,"265.2","(h)(4), (5), and (6) added","32738",40,1975
6,"265.2","(b)(6) added","43717",40,1975
7,"265.2","(a)(14) added","46093",40,1975
8,"265.2","(c)(17) added","55635",40,1975
9,"270.4","(d) revised","10661",40,1975
10,"271.4","(c) revised; (d), (e), and (f) added","7897",40,1975
11,"271.5","(a) revised","13204",40,1975
12,"271.6","Amended","7898",40,1975
13,"272.3","(a) revised","7898",40,1975
14,"272.3","(d) and (e) revised","10661",40,1975
15,"201.51"," Revised"," 4904",40,1975
16,"201.51"," Revised"," 6769",40,1975
17,"201.51"," Revised"," 12988",40,1975
18,"201.51"," Revised"," 23842",40,1975
19,"201.52"," Revised"," 4904",40,1975
20,"201.52"," Revised"," 6769",40,1975
21,"201.52"," Revised"," 12988",40,1975
22,"201.52"," Revised"," 23842",40,1975
23,"201.52"," (b) revised"," 27476,30807",40,1975
24,"201.53"," Revised"," 4904",40,1975
25,"202","Added","49306",40,1975
26,"202.7","(a) effective date deferred, 1-31-76","60055",40,1975
27,"204.1","(e)(1) revised","46301",40,1975
28,"204.1","Corrected","48499",40,1975
29,"204.5","(a)(1)(iii) and (2)(iii) revised","3973",40,1975
30,"204.5","(c) revised","17136",40,1975
31,"204.5","(a)(1)(ii) and (2)(ii) revised","49310",40,1975
32,"204.5","(a)(1)(ii) and (2)(ii) revised","60055",40,1975
33,"206.1--206.71","Revised","50458",40,1975
34,"206.51","Form F-5 amended","52843",40,1975
35,"207.5","(f) revised"," 19636, 43482",40,1975
36,"207.5","Stock lists issued","44829",40,1975
37,"208.8","(e)(5) added","21931",40,1975
38,"208.8","(f) added","51179",40,1975
39,"211.111","Added","43199",40,1975
40,"213.3","(b)(6) and (7) revised; (b)(8) added","40507",40,1975
41,"213.7","Revised","17136",40,1975
42,"213.105","Added","18412",40,1975
43,"215.103","(a) revised; (c) amended","40507",40,1975
44,"217.1","(e)(3) revised","17832",40,1975
45,"217.1","(e)(1) revised","46301",40,1975
46,"217.3","(f) amended","24895",40,1975
47,"217.4","(d) suspended until 4-18-75","12251",40,1975
48,"217.4","(d) amended","24894, 57664",40,1975
49,"217.5","(c)(1) introductory text and (2) and (3) revised; (c)(1)(vii) added","32737",40,1975
50,"217.7","(b) footnote added; (d) amended","57664",40,1975
51,"217.152","Added","16831",40,1975
52,"220.7","(a) revised","53379",40,1975
53,"220.8","(g)(3) revised","19636",40,1975
54,"220.8","(g) revised","43482",40,1975
55,"220.8","(h) and (i) stock list issued","44829",40,1975
56,"221.4","(f) revised","19636, 43482",40,1975
57,"221.4","(d) and (e) stock list issued","44829",40,1975
58,"221.123","Correctly designated","59322",40,1975
59,"224","Stock list issued","44829",40,1975
60,"225.5","(c) added","55634",40,1975
61,"225.123","(g) revised","11710",40,1975
62,"225.123","(d) removal clarified","13304",40,1975
63,"225.123","(a) through (g) redesignated as (a), (b), (c), (d), and (e)","13477",40,1975
64,"225.129","Amended","36309",40,1975
65,"225.133","Added","43199",40,1975
66,"226.1","(b)(1) and (c) revised","30085",40,1975
67,"226.1","(a)(1) revised; (a)(2) amended","43201",40,1975
68,"226.2","Certain paragraphs redesignated (See conversion table)","43201",40,1975
69,"226.2","(mm) through (qq) added","50508",40,1975
70,"226.3","(e) added","30085",40,1975
71,"226.2","Footnotes 1 and 1a redesignated as 1a and 1b; new footnote 1 added to 226.2","43202",40,1975
72,"226.4","(i) added","43202",40,1975
73,"226.6","(b) revised; (k) added","43203",40,1975
74,"226.6","(b)(2)(i) and (ii) corrected","54424",40,1975
75,"226.7","(a)(1) and (b)(9) revised","30086",40,1975
76,"226.7","(f) added","43200",40,1975
77,"226.7","(a)(9), (b)(1)(x) and (b)(2) added","43204",40,1975
78,"226.7","(b) introductory text redesignated as (b)(1) and (b)(1) through (9) redesignated as (b)(1)(i) through (ix); redesignated (b)(1)(i), (ii), (iii), (v), and (ix) revised","43204",40,1975
79,"226.7","(c)(1) and (2) revised; (c)(3) redesignated as (c)(4); new (c)(3) added","43204",40,1975
80,"226.7","(d) and (e) redesignated as (e) and (f); new (d), (g), (h), and (i) added; redesignated (e) revised","43204",40,1975
81,"226.7","(f) correctly designated as (j)","45158",40,1975
82,"226.8","(n) and (o)(6) revised; (q) added","43207",40,1975
83,"226.8","(a) revised","50508",40,1975
84,"226.8","(r) revised; eff. 1-31-76","50508",40,1975
85,"226.8","(n)(1) corrected","54424",40,1975
86,"226.9","(g)(5) and (h) added","30086",40,1975
87,"226.10","(f) added","30085",40,1975
88,"226.11","(a)(2) and (3) revised","43207",40,1975
89,"226.12","(a) and (b) revised","43207",40,1975
90,"226.13","(i) added","30086",40,1975
91,"226.13","Revised","43207",40,1975
92,"226.14","Added","432091",40,1975
93,"226.102","Added","21471",40,1975
94,"226.703","Revised","1681",40,1975
95,"226.820","Added","55635",40,1975
96,"250.143","Added","12252",40,1975
97,"261.3","(b) and (d) revised; (f) added","7620",40,1975
98,"261.4","(d) revised; (e), (f) and (g) added","7621",40,1975
99,"261.6","(a)(1) and (4) revised; (d) removed","7621",40,1975
100,"261a","Added","45617",40,1975
101,"265.1a","Revised","1506",40,1975
102,"265.1a","(b) added","13477",40,1975
1,"201.2","(d) revised","36808",41,1976
2,"201.51","Revised","4540, 52979",41,1976
3,"201.52","Revised","4540, 52979",41,1976
4,"201.53","Revised","4540, 52980",41,1976
5,"202","Interpretations","49087, 51389, 55174",41,1976
6,"202.001","Added","13579",41,1976
7,"202.4","(d)(1) amended; (d)(3) added","20577",41,1976
8,"202.5","(d)(2) amended","20577",41,1976
9,"202.6","Amended","38759",41,1976
10,"202.9","(a) and (b) revised","20577",41,1976
11,"202.1","(c) revised; (f) added","20577",41,1976
12,"202.13","(b) revised; (c) redesignated as (d); new (c) added","28255",41,1976
13,"202.14","(b) and (d) revised","20577",41,1976
14,"203","Added","23936",41,1976
15,"204","Footnotes 5a, 6, 7, and 8 redesignated as 6, 10, 11, and 12","26199",41,1976
16,"204.1","(f) introductory text and (3) revised","26198",41,1976
17,"204.5","(a)(1)(iii) and (2)(iii) revised","56627",41,1976
18,"204.118","Added","26679",41,1976
19,"204.119","Added","26200",41,1976
20,"206.7","(c)(10)(vii) added","46428",41,1976
21,"206.44","Revised","46428",41,1976
22,"206.71","Amended","46429",41,1976
23,"207","OTC margin stock list","21608",41,1976
24,"207.1","(a) and (b) revised; footnote 4 removed; footnotes 5 and 6 redesignated as footnotes 4 and 5","30007",41,1976
25,"207.2","Footnotes 7 through 9 redesignated as footnotes 6 through 8","30007",41,1976
26,"207.3","(a) revised","30007",41,1976
27,"207.5","(d) and (e) revised","28257",41,1976
28,"208.8","(e)(5) amended 1269","10062",41,1976
29,"210","Interim policy","3074",41,1976
30,"211.52","Added","7496",41,1976
31,"213.7","(b) revised","7497",41,1976
32,"213.52","Added","7496",41,1976
33,"217","Footnotes 5a, 6, 6a, and 7 redesignated as 9, 10, 11, and 12","26199",41,1976
34,"217.1","(e)(3) revised","10062",41,1976
35,"217.1","(f)(3) revised","26199",41,1976
36,"217.4","(d) revised (CFR correction)","32578",41,1976
37,"217.4","(d) amended","50243",41,1976
38,"217.5","(c)(3) revised","10062",41,1976
39,"217.6","(i) revised","10062",41,1976
40,"217.7","Footnote 2 revised","50243",41,1976
41,"217.143","Added","26201",41,1976
42,"220","OTC margin stock list","21608",41,1976
43,"220.3","(d)(5) revised; (i) added","43895",41,1976
44,"220.4","(i) revised; (j)(6) added","43896",41,1976
45,"220.8","(h) and (i) revised","28257",41,1976
46,"220.8","(j) added","43896",41,1976
47,"220.13","Added","34938",41,1976
48,"221","OTC margin stock list","21608",41,1976
49,"221.3","(a) amended (Form U-1 revised)","23667",41,1976
50,"221.3","(a) effective date postponed","35477, 48335",41,1976
51,"221.3","(a) amended (Form U-1 amended)","52980",41,1976
52,"221.4","(d) and (e) revised","28258",41,1976
53,"224","OTC margin stock list","21608",41,1976
54,"225.4","Footnotes 4 to 12 redesignated as 5 to 13; (a)(6)(i)(c) footnote 4 added","45984",41,1976
55,"225.6","Added","15688",41,1976
56,"225.134","Added","9859",41,1976
57,"225.134","Correctly designated and corrected","12009",41,1976
58,"225.135","Added","22260",41,1976
59,"226","Interpretations","41908, 44855, 47409, 51389, 52980, 54477, 55857, 56828",41,1976
60,"226","Supplement V added","55329",41,1976
61,"226.1","(c) revised; (d) added","28256",41,1976
62,"226.1","(d) corrected","2980",41,1976
63,"226.1","(a)(1),(2), and (b)(1) amended; (c) revised","4553",41,1976
64,"226.2","(mm) through (qq) removed","5098",41,1976
65,"12","(d), (jj), and (kk) amended; (h) revised; (mm) through (ss) added","45538",41,1976
66,"226.3","(f) added","45538",41,1976
67,"226.6","(b)(3) added; (c) and (i) amended; (d), (e), (f) and (g) footnote revised","45538",41,1976
68,"226.7","(b)(1)(ii) transition date suspended in July-Aug. ’76","20395",41,1976
69,"226.7","(b)(1)(ii) amended; (k) added","36664",41,1976
70,"226.7","(b)(1)(iii) amended; (c)(1) revised","36665",41,1976
71,"226.8","(a) amended; (r) removed","5098",41,1976
72,"226.8","(c)(8)(i) revised; (d)(3) amended","28945",41,1976
73,"226.10","(a) introductory text and (a)(1) and (2) redesignated as (a)(1), (a)(1)(i), and (a)(1)(ii); (a)(2), (g), and (h) added; (b) revised","45539",41,1976
74,"226.12","(a) and (b) revised","45539",41,1976
75,"226.13","(i)(4) footnote added","36665",41,1976
76,"226.14","(e) corrected","5098",41,1976
77,"226.15","Added","45540",41,1976
78,"226.102","Removed","5098",41,1976
79,"226.606","Added","6061",41,1976
80,"226.708","Added","6061",41,1976
81,"226.820","Removed","28945",41,1976
82,"227","Added","44362",41,1976
83,"250","Interpretation","9859",41,1976
84,"225.134","Correctly designated as","12009",41,1976
85,"265.1","Amended","53775",41,1976
86,"265.1a","(c) added","14860",41,1976
87,"265.1a","(a) introductory text and (6) revised","39736",41,1976
88,"265.1a","(a)(1)(ii) revised; (a)(5), (7)(iii), and (8) amended","53775",41,1976
89,"265.1a","(b)(2) added","5858",41,1976
90,"265.2","(a)(9)(ii)(d) revised; (a)(12)(iv) amended; (f)(34) added","1738",41,1976
91,"265.2","(a)(15) added","14860",41,1976
92,"265.2","(c)(18) added","20395",41,1976
93,"265.2","(c)(18) corrected","26854",41,1976
94,"265.2","(a)(16) added; correctly designated","27026, 36198",41,1976
95,"265.2","(a)(17) added","28946",41,1976
96,"265.2","(i) revised","38759",41,1976
97,"265.2","(a), (b), (c), and (h) introductory; texts, (a)(14), (c)(14), and (d) revised","53775",41,1976
98,"265.2","(f)(1), (14), (16), and (22)(vii), and introductory texts of (e) and (g) amended; (i) amended; (j) added","53775",41,1976
99,"265.2","(b)(3) revised","54480",41,1976
100,"265.3","265.3 Amended","53776",41,1976
101,"267","267 Added","49802",41,1976
102,"271.5","271.5 (a) revised","22261",41,1976
1,"201.51","Revised","47185, 57302",42,1977
2,"201.52","Revised","47185",42,1977
3,"201.52","(a) and (b) revised","57302",42,1977
4,"201.53","Revised","47186, 57302",42,1977
5,"202","Revised","1243",42,1977
6,"202","Interpretations","15891, 21605, 40424, 62903",42,1977
7,"202.801","Added","40424",42,1977
8,"202.1101","Added","22861",42,1977
9,"202.1102","Added","22861",42,1977
10,"202.1103","Added","36801",42,1977
11,"202.1103","(a) and (d) corrected","39368",42,1977
12,"202","Appendix B added","5679",42,1977
13,"203.001","Added","19123",42,1977
14,"203.002","Added","19123",42,1977
15,"204.1","(f) interpretation","13296",42,1977
16,"204.5","(a)(1)(iii), (b) and (c) revised","9999",42,1977
17,"206.71","Revised","3172",42,1977
18,"207","OTC margin stock list... 968, Forms revised under Regulation G","41605, 29299",42,1977
19,"207","OTC margin stock list; corrected","46275",42,1977
20,"208.8","(e)(5) amended","20815",42,1977
21,"208.8","(j) added","45290",42,1977
22,"208.8","(g), (h) and (i) added","49443",42,1977
23,"208.8","(f)(4) added","65569",42,1977
24,"210","Heading revised","31764",42,1977
25,"210.1—210.16","(Subpart A) Heading added and nomenclature changes","31764",42,1977
26,"210.2","(a) revised","31764",42,1977
27,"210.65","(Subpart B) Added","31765",42,1977
28,"211.112","Added","752",42,1977
29,"212.3","(h) added","2951",42,1977
30,"213.7","(b) amended","58737",42,1977
31,"213.106","Added","752",42,1977
32,"217.1","(f) interpretation","13296",42,1977
33,"217.4","(d) revised","16615",42,1977
34,"217.4","(d) introductory text amended","57950",42,1977
35,"217.4","(d)(1) revised and footnote added","57951",42,1977
36,"12 CFR Part","(f) revised","61248",42,1977
37,"217.5","(b) amended","61248",42,1977
38,"217.7","(b)(1) revised; (e) added","20286",42,1977
39,"220","OTC margin stock list... 968","41605",42,1977
40,"220","OTC margin stock list corrected","46275",42,1977
41,"220.3","(d)(5) and (i) temporarily suspended in part; eff. 1-1-77","753",42,1977
42,"220.3","(ii)(4) revised","22862",42,1977
43,"221","OTC margin stock list... 968","41605",42,1977
44,"221","OTC margin stock list; corrected","46275",42,1977
45,"224","OTC margin stock list... 968","41605",42,1977
46,"224","OTC margin stock list; corrected","46275",42,1977
47,"225.5","(d) and (e) added","49444",42,1977
48,"225.5","(c)(4) added","65569",42,1977
49,"225.136","Added; eff. 12-22-76","1263",42,1977
50,"225.137","Added; correctly designated","1263, 2951",42,1977
51,"225.138","Added","10969",42,1977
52,"226","Staff interpretations","1264, 3827, 5690, 7948, 9384, 10680, 12851, 13103, 13296, 14859, 16130, 17865, 18056, 22360, 25489, 25491, 27570, 28520, 30148, 31430, 35147, 38174, 40424, 42845, 43057, 45895, 46916, 53947, 55880, 58163, 61248, 64106",42,1977
53,"226.1","(c) amended","3",42,1977
54,"226.1","(d)(1) and (3) amended","2950",42,1977
55,"226.2","(x) corrected","753",42,1977
56,"226.2","(tt), (uu), and (vv) added","38173",42,1977
57,"226.4","(i)(1) introductory text, (i) and (iii) and (2) amended; (i)(5) and footnote 5a added; (i)(4) revised","38173",42,1977
58,"226.5","(a)(3)(ii) amended","38173",42,1977
59,"226.6","(d) and (g) amended","3",42,1977
60,"226.6","(a) amended","20455",42,1977
61,"226.7","(k)(3)(ii) effective date postponed to 3-28-78","45897",42,1977
62,"226.8","(b)(8) added","20456",42,1977
63,"226.10","(h) amended","3",42,1977
64,"226.13","(l)(1)(i) amended","38173",42,1977
65,"226.15","(a) and (b)(5), (9), (11), and (15)(iii) amended","3",42,1977
66,"226.709","Added","42844",42,1977
67,"226.810","Removed","20456",42,1977
68,"226.821","Added","19125",42,1977
69,"226.1501","Added","10971",42,1977
70,"226.1502","Added","10974",42,1977
71,"226.1503","Added","10976",42,1977
72,"227.2","(a)(2)(i) amended","2950",42,1977
73,"261.3","(a) amended","56719",42,1977
74,"261.6","(a)(1) revised","9386",42,1977
75,"261.6","(a)(1) amended","10681",42,1977
76,"261b","Added","13297",42,1977
77,"262.3","(g)(4) amended","56719",42,1977
78,"264.735-8","(a) revised","27876",42,1977
79,"265.1a","(a) removed; (b) and (c) redesignated as (a) and (b)","25318",42,1977
80,"265.2","(c)(19) through (22) added; (h)(1) through (3) removed; (h)(4) and (6) revised; (h)(4) through (6) redesignated as (h)(1) through (3)","2950",42,1977
81,"265.2","(c)(23) and (f)(35) added","28522",42,1977
82,"265.2","(f) introductory text revised; (f)(33), (34), and (35), redesignated as (34), (35), and (36); new (f)(33) added","30601",42,1977
83,"265.2","(a)(8) revised","44980",42,1977
84,"265.2","(c)(24) added","45291",42,1977
85,"265.2","(a)(18) added","53950",42,1977
86,"265.2","(a)(16) and (f)(28) introductory text revised","55203",42,1977
87,"265.2","(c)(25) added","60559",42,1977
88,"265.3","Corrected","2501",42,1977
89,"268","Added","28522",42,1977
90,"271.6","(a) revised","13299",42,1977
91,"281.2","Added","13300",42,1977
1,"201.51","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53707",43,1978
2,"201.52","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53708",43,1978
3,"201.53","Revised","4002, 21658, 31883, 38572, 45821, 50868, 53708",43,1978
4,"201.108","(d) amended","53709",43,1978
5,"201.11","Added","21434",43,1978
6,"202","Staff interpretations","11967, 30531, 32742, 39341",43,1978
7,"202.1","(d) revised","18540",43,1978
8,"202.1","(d)(2)(i) correctly revised","19644, 21318",43,1978
9,"202.2","(c)(1)(i) and (2)(iii) revised; (c)(3) added","11969",43,1978
10,"204.1","(f)(1) revised","1616, 19644",43,1978
11,"204.5","(c) amended","38688",43,1978
12,"204.5","(a)(1)(ii) and (2)(ii) revised","52202",43,1978
13,"205","Removed","53709",43,1978
14,"206.4","(h)(1) revised; eff. 1-29-79","60550",43,1978
15,"206.5","(c) (3), (4), (f)(5), (k), (1)(1), (3)(iv), (4), and (7) revised; eff. 1-29-79","60550",43,1978
16,"206.6","(e)(3) and (l) revised eff. 1-29-79","60552",43,1978
17,"206.42","Amended; eff. 1-29-79","60554",43,1978
18,"206.43","Revised; eff. 1-29-79","60555",43,1978
19,"206.46","Amended; eff. 1-29-79","60557",43,1978
20,"206.47","Amended; eff. 1-29-79","60559",43,1978
21,"206.51","Amended; eff. 1-29-79","60559",43,1978
22,"206.54","Added; eff. 1-29-79","60559",43,1978
23,"207","OTC margin stock list","14304, 45822",43,1978
24,"207","OTC margin stock list corrected","46957",43,1978
25,"207.5","(d)(2) and (e)(2) revised","20966",43,1978
26,"207.110","Added","30038",43,1978
27,"208.8","(e)(2) and (5) removed; (e)(3) and (4) redesignated as (e)(2) and (3); new (e)(3) revised; Appendix A added","18162",43,1978
28,"(e)(3)","and Appendix A revised","20784",43,1978
29,"211.7","(c) amended","55239",43,1978
30,"213.7","(a) and (b) amended","38688",43,1978
31,"215.2","(c)(5)(iv) revised","8506, 30039",43,1978
32,"215.5","Footnote 3 correctly designated as footnote 4","31883",43,1978
33,"217.1","(f)(1) revised","19644",43,1978
34,"217.4","(d) temporarily suspended in part","15408, 41015",43,1978
35,"(d)(3)","amended","58365",43,1978
36,"217.5","(c)(2) and (3) revised","20002",43,1978
37,"217.7","(b)(4) and (f) added; (d) and (e) revised","21436",43,1978
38,"(b)(4)","(d), (e), and (f) interpretation","24516",43,1978
39,"(b)(1)","introductory text revised","26425",43,1978
40,"217.154","Added","58365",43,1978
41,"220","OTC margin stock list","14304, 45822",43,1978
42,"OTC","margin stock list","46957",43,1978
43,"220.2","(f) revised; (i) added","43446",43,1978
44,"220.4","(f)(2)(ii) correctly revised","31002",43,1978
45,"220.4","(f) correctly designated","33899",43,1978
46,"220.4","(i) added","43446",43,1978
47,"220.8","(h)(2) and (i)(2) revised","20966",43,1978
48,"220.8","(b) revised","43446",43,1978
49,"221","OTC margin stock list","14304, 45822",43,1978
50,"221","OTC margin stock list corrected","46957",43,1978
51,"221.4","(d)(2) and (e)(2) revised","20966",43,1978
52,"221.115","Revised","30039",43,1978
53,"224","OTC margin stock list","14304, 45822",43,1978
54,"224","OTC margin stock list corrected","46957",43,1978
55,"225.4","(b)(1) and (2) revised","60262",43,1978
56,"225.5","(f) added","10332",43,1978
57,"225.139","Added","6214",43,1978
58,"225.139","(d) footnote 7 corrected","15147",43,1978
59,"225.139","(b), (c)(1) and (3), (d) and footnote 7 corrected","15321",43,1978
60,"226","Staff interpretations","3898",43,1978
61,"226","Staff interpretations","5357",43,1978
62,"226","Staff interpretations","8117",43,1978
63,"226","Staff interpretations","13055",43,1978
