"","Part","Change","Page","FedReg_Number","Year"
"30","213.7","(a) and (b) amended","38688",43,"1978"
"31","215.2","(c)(5)(iv) revised","8506, 30039",43,"1978"
"32","215.5","Footnote 3 correctly designated as footnote 4","31883",43,"1978"
"33","217.1","(f)(1) revised","19644",43,"1978"
"34","217.4","(d) temporarily suspended in part","15408, 41015",43,"1978"
"35","(d)(3)","amended","58365",43,"1978"
"36","217.5","(c)(2) and (3) revised","20002",43,"1978"
"37","217.7","(b)(4) and (f) added; (d) and (e) revised","21436",43,"1978"
"38","(b)(4)","(d), (e), and (f) interpretation","24516",43,"1978"
"39","(b)(1)","introductory text revised","26425",43,"1978"
"40","217.154","Added","58365",43,"1978"
"41","220","OTC margin stock list","14304, 45822",43,"1978"
"42","OTC","margin stock list","46957",43,"1978"
"43","220.2","(f) revised; (i) added","43446",43,"1978"
"44","220.4","(f)(2)(ii) correctly revised","31002",43,"1978"
"45","220.4","(f) correctly designated","33899",43,"1978"
"46","220.4","(i) added","43446",43,"1978"
"47","220.8","(h)(2) and (i)(2) revised","20966",43,"1978"
"48","220.8","(b) revised","43446",43,"1978"
"49","221","OTC margin stock list","14304, 45822",43,"1978"
"50","221","OTC margin stock list corrected","46957",43,"1978"
"51","221.4","(d)(2) and (e)(2) revised","20966",43,"1978"
"52","221.115","Revised","30039",43,"1978"
"53","224","OTC margin stock list","14304, 45822",43,"1978"
"54","224","OTC margin stock list corrected","46957",43,"1978"
"55","225.4","(b)(1) and (2) revised","60262",43,"1978"
"56","225.5","(f) added","10332",43,"1978"
"57","225.139","Added","6214",43,"1978"
"58","225.139","(d) footnote 7 corrected","15147",43,"1978"
"59","225.139","(b), (c)(1) and (3), (d) and footnote 7 corrected","15321",43,"1978"
"60","226","Staff interpretations","3898",43,"1978"
"61","226","Staff interpretations","5357",43,"1978"
"62","226","Staff interpretations","8117",43,"1978"
"63","226","Staff interpretations","13055",43,"1978"
"64","226","Staff interpretations","15148",43,"1978"
"65","226","Staff interpretations","21321",43,"1978"
"66","226","Staff interpretations","26426",43,"1978"
"67","226","Staff interpretations","30532",43,"1978"
"68","226","Staff interpretations","32742",43,"1978"
"69","226","Staff interpretations","35026",43,"1978"
"70","226","Staff interpretations","38572",43,"1978"
"71","226","Staff interpretations","40211",43,"1978"
"72","226","Staff interpretations","41016",43,"1978"
"73","226","Staff interpretations","47719",43,"1978"
"74","226","Staff interpretations","47720",43,"1978"
"75","226","Staff interpretations","52695",43,"1978"
"76","226","Staff interpretations","52696",43,"1978"
"77","226","Staff interpretations","60263-60265",43,"1978"
"78","226","Staff interpretations corrected","36052, 54924",43,"1978"
"79","226","Staff interpretations republished and effective date suspended","43018, 55746",43,"1978"
"80","226","Staff interpretations; eff. 1-4-79","56877",43,"1978"
"81","226.1","(d) revised","18540",43,"1978"
"82","226.6","(b)(3) Supplement VI added","21319",43,"1978"
"83","226.6","(i) revised","22928",43,"1978"
"84","226.7","(k)(3)(ii) text revised; footnote unaffected","4419",43,"1978"
"85","226.7","(k)(3)(ii) corrected","7979",43,"1978"
"86","226.7","(a)(4) footnote 6a redesignated as footnote 6b","22929",43,"1978"
"87","226.8","(a) amended","38813, 49529",43,"1978"
"88","226.9","(g)(6) added","34113",43,"1978"
"89","226.12","Supplement VI added","21319",43,"1978"
"90","226.12","Supplement III amended","49973",43,"1978"
"91","226.503","(a) added","38814",43,"1978"
"92","226.904","Added","34113",43,"1978"
"93","226.904","Amended","50673",43,"1978"
"94","228","Added","47148",43,"1978"
"95","250.141","(f) and (g) corrected","53414",43,"1978"
"96","261b.2","(h) added","34481",43,"1978"
"97","261b.7","(a) amended","34481",43,"1978"
"98","262.3","(b) through (h) redesignated as (c) through (k); new (b) added; eff. 11-6-78","47157",43,"1978"
"99","262.3","(i) added; (g)(5) removed; eff. 10-19-78","49973",43,"1978"
"100","262.3","(d) through (h) redesignated as (e) through (j); new (d) added; eff. 10-19-78","49974",43,"1978"
"101","264a","Added","7611",43,"1978"
"102","264a","Revised","24668",43,"1978"
"103","265.1a","(c) added","34482",43,"1978"
"104","265.2","(f) introductory text revised and (37) added","4254",43,"1978"
"105","265.2","(h)(2) revised","21322",43,"1978"
"106","265.2","(b)(7) added","49974",43,"1978"
"107","265.2","(b)(7) revised","52203",43,"1978"
"108","265.2","(f)(20) revised","60262",43,"1978"
"109","265.2","(d) introductory text revised; (d)(3) through (5) added; (j) removed","60266",43,"1978"
