"","Part","Change","Page","FedReg_Number","Year"
"74","226.6","(b)(2)(i) and (ii) corrected","54424",40,"1975"
"75","226.7","(a)(1) and (b)(9) revised","30086",40,"1975"
"76","226.7","(f) added","43200",40,"1975"
"77","226.7","(a)(9), (b)(1)(x) and (b)(2) added","43204",40,"1975"
"78","226.7","(b) introductory text redesignated as (b)(1) and (b)(1) through (9) redesignated as (b)(1)(i) through (ix); redesignated (b)(1)(i), (ii), (iii), (v), and (ix) revised","43204",40,"1975"
"79","226.7","(c)(1) and (2) revised; (c)(3) redesignated as (c)(4); new (c)(3) added","43204",40,"1975"
"80","226.7","(d) and (e) redesignated as (e) and (f); new (d), (g), (h), and (i) added; redesignated (e) revised","43204",40,"1975"
"81","226.7","(f) correctly designated as (j)","45158",40,"1975"
"82","226.8","(n) and (o)(6) revised; (q) added","43207",40,"1975"
"83","226.8","(a) revised","50508",40,"1975"
"84","226.8","(r) revised; eff. 1-31-76","50508",40,"1975"
"85","226.8","(n)(1) corrected","54424",40,"1975"
"86","226.9","(g)(5) and (h) added","30086",40,"1975"
"87","226.10","(f) added","30085",40,"1975"
"88","226.11","(a)(2) and (3) revised","43207",40,"1975"
"89","226.12","(a) and (b) revised","43207",40,"1975"
"90","226.13","(i) added","30086",40,"1975"
"91","226.13","Revised","43207",40,"1975"
"92","226.14","Added","432091",40,"1975"
"93","226.102","Added","21471",40,"1975"
"94","226.703","Revised","1681",40,"1975"
"95","226.820","Added","55635",40,"1975"
"96","250.143","Added","12252",40,"1975"
"97","261.3","(b) and (d) revised; (f) added","7620",40,"1975"
"98","261.4","(d) revised; (e), (f) and (g) added","7621",40,"1975"
"99","261.6","(a)(1) and (4) revised; (d) removed","7621",40,"1975"
"100","261a","Added","45617",40,"1975"
"101","265.1a","Revised","1506",40,"1975"
"102","265.1a","(b) added","13477",40,"1975"
