"","Part","Change","Page","FedReg_Number","Year"
"87","265.1a","(a) introductory text and (6) revised","39736",41,"1976"
"88","265.1a","(a)(1)(ii) revised; (a)(5), (7)(iii), and (8) amended","53775",41,"1976"
"89","265.1a","(b)(2) added","5858",41,"1976"
"90","265.2","(a)(9)(ii)(d) revised; (a)(12)(iv) amended; (f)(34) added","1738",41,"1976"
"91","265.2","(a)(15) added","14860",41,"1976"
"92","265.2","(c)(18) added","20395",41,"1976"
"93","265.2","(c)(18) corrected","26854",41,"1976"
"94","265.2","(a)(16) added; correctly designated","27026, 36198",41,"1976"
"95","265.2","(a)(17) added","28946",41,"1976"
"96","265.2","(i) revised","38759",41,"1976"
"97","265.2","(a), (b), (c), and (h) introductory; texts, (a)(14), (c)(14), and (d) revised","53775",41,"1976"
"98","265.2","(f)(1), (14), (16), and (22)(vii), and introductory texts of (e) and (g) amended; (i) amended; (j) added","53775",41,"1976"
"99","265.2","(b)(3) revised","54480",41,"1976"
"100","265.3","265.3 Amended","53776",41,"1976"
"101","267","267 Added","49802",41,"1976"
"102","271.5","271.5 (a) revised","22261",41,"1976"
